,Profile,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
33,Profile,Hyeri,Lee Hyeri,이혜리,혜리,1994-06-09,Girl's Day,South Korea,,167,46,Gwangju,,,F,,hyeri_0609,
34,,Jea,Kim Hyojin,김효진,제아,1981-09-18,Brown Eyed Girls,South Korea,,0,0,,,,F,,jeaworld,
35,,Miryo,Jo Mihye,조미혜,미료,1981-11-02,Brown Eyed Girls,South Korea,,0,0,,,,F,,miryoakajohoney,
36,,Narsha,Park Hyojin,박효진,나르샤,1981-12-28,Brown Eyed Girls,South Korea,,0,0,,,,F,,narsha81,
37,,Gain,Son Gain,손가인,가인,1987-09-20,Brown Eyed Girls,South Korea,,0,0,,,,F,,songain87,
38,Profile,Chorong,Park Chorong,박초롱,초롱,1991-03-03,Apink,South Korea,,165,0,Chungwongoon,,,F,,mulgokizary,
39,Profile,Bomi,Yoon Bomi,윤보미,보미,1993-08-13,Apink,South Korea,,163,0,Suwon,,,F,,,
40,Profile,Eunji,Jung Eunji,정은지,은지,1993-08-18,Apink,South Korea,,163,0,Busan,,,F,,artist_eunji,
41,Profile,Naeun,Son Naeun,손나은,나은,1994-02-10,Apink,South Korea,,168,0,Seoul,,,F,,marcella_the_naeun,
42,Profile,Namjoo,Kim Namjoo,김남주,남주,1995-04-15,Apink,South Korea,,165,0,Seoul,,,F,,sarangdungy,
43,Profile,Hayoung,Oh Hayoung,오하영,하영,1996-07-19,Apink,South Korea,,167,0,Seoul,,,F,,o_h_y_y,
44,Profile,Solji,Heo Solji,허솔지,솔지,1989-01-10,EXID,South Korea,,170,0,Seongnam,,,F,,soul.g_heo,
45,Profile,LE,Ahn Hyejin,안효진,엘리,1991-12-10,EXID,South Korea,,168,0,Cheonan,,,F,,x_xellybabyx,
46,Profile,Hani,Ahn Hee-yeon,안희연,하니,1992-05-01,EXID,South Korea,,168,0,Seoul,,,F,,ahnhani_92,
47,Profile,Hyerin,Seo Hyerin,서혜린,혜린,1993-08-23,EXID,South Korea,,165,0,Gwangju,,,F,,hyeliniseo,
48,Profile,Junghwa,Park Junghwa,박정화,정화,1995-05-08,EXID,South Korea,,169,0,Anyang,,EXID,F,,jeonghwa_0508,
49,,Hyeyeon,Kang Hyeyeon,강혜연,혜연,1990-12-08,BESTie,South Korea,,0,0,,,EXID,F,,hyeyeon_2,
50,,Uji,Jang Yuji,정유지,유지,1991-01-02,,South Korea,,0,0,,,"EXID, BESTie",F,,yudi_didi,
51,,Dahye,Song Dahye,송다혜,다혜,1993-06-12,,South Korea,,0,0,,,"EXID, BESTie",F,,dahye0612,
52,,Haeryeong,Na Haeryeong,나해령,해령,1994-11-11,BESTie,South Korea,,0,0,,,,F,,bestie_hr,
53,Profile,Yubin,Kim Yubin,김유빈,유빈,1988-10-04,Wonder Girls,South Korea,,163,0,Gwangju,,,F,,,
54,Profile,Yenny,Park Yeeun,박예은,예은,1989-05-26,Wonder Girls,South Korea,,165,0,Goyang,,,F,,hatfelt,
55,Profile,Sunmi,Lee Sunmi,이선미,선미,1992-05-02,Wonder Girls,South Korea,,167,0,Iksan,,,F,,miyayeah,
56,Profile,Hyerim,Woo Hyerim,우혜림,혜림,1992-09-01,Wonder Girls,South Korea,,167,0,Seoul,,,F,,wg_lim,
57,,Fei,Wang FeiFei,왕페이페이,페이,1987-04-27,miss A,China,,165,0,Haikou,,,F,,ff0427,
58,,Jia,Meng Jia,멍지아,지아,1989-02-03,miss A,China,,166,0,Changja,,,F,,mjbaby0203,
59,,Min,Lee Minyoung,이민영,민,1991-06-21,miss A,South Korea,,161,0,Seoul,,,F,,therealminnn,
60,,Suzy,Bae Suji,배수지,수지,1994-10-10,miss A,South Korea,,168,0,Gwangju,,,F,,skuukzky,
61,,Jamie,Park Jimin,박지민,박지민,1997-07-05,15&,South Korea,,160,0,Junggu,,,F,,jiminxjamie,
62,,Yerin,Baek Yerin,백예린,백예린,1997-06-26,15&,South Korea,,165,0,Daejeon,,,F,,yerinb,
63,Profile,Jihyo,Park Jisoo,박지수,지효,1997-02-01,Twice,South Korea,,162,0,Guri,,,F,"Leader, Main Vocal",,
64,Profile,Nayeon,Im Nayeon,임나연,나연,1995-09-22,Twice,South Korea,,163,0,Seoul,,,F,,,
65,Profile,Jeongyeon,Yoo Jeongyeon,유정연,정연,1996-11-01,Twice,South Korea,,168,0,Suwon,,,F,,,
66,Profile,Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,Japan,,167,0,Kyoto,,,F,,,
67,Profile,Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,,168,0,Osaka,,,F,,,
68,Profile,Mina,Myoui Mina,묘이 미나,미나,1997-03-24,Twice,Japan,,163,0,San Antonio,,,F,,,
69,Profile,Dahyun,Kim Dahyun,김다현,다현,1998-05-28,Twice,South Korea,,165,0,Seongnam,,,F,,,
70,Profile,Chaeyoung,Son Chaeyoung,손채영,채영,1999-04-23,Twice,South Korea,,159,0,Seoul,,,F,,,
71,Profile,Tzuyu,Chou Tzuyu,저우쯔위,쯔위,1999-06-14,Twice,Taiwan,,169,0,Tainan,,,F,,,
72,Profile,Seunghee,Oh Seunghee,오승희,승희,1995-10-10,CLC,South Korea,,163,0,Gwangju,,,F,,,
73,Profile,Yujin,Choi Yujin,최유진,유진,1996-08-12,Kep1er,South Korea,,164,0,Jeonju,,CLC,F,,,
74,Profile,Seungyeon,Jang Seunyeon,장승연,승연,1996-11-06,CLC,South Korea,,163,0,Seongnam,,,F,,,
75,Profile,Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,1996-11-18,CLC,Thailand,,164,0,Bangkok,,,F,,,
76,Profile,YeeEun,Jang Yeeun,장예은,예은,1998-08-10,CLC,South Korea,,166,0,Dongducheon,,,F,,,
77,,Hyuna,Moon Hyuna,문현아,현아,1987-01-19,,South Korea,,172,50,Yeosu,,9Muses,F,,moongom119,
78,,Euaerin,Lee Hyemin,이혜민,이유애린,1988-05-03,,South Korea,,174,48,Seoul,,9Muses,F,,,
79,,Sungah,Son Sungah,손성아,성아,1989-07-08,9Muses,South Korea,Fiji,172,48,Suma,,,F,,ssungahhbaby,
80,,Kyungri,Park Kyungri,박경리,경리,1990-07-05,9Muses,South Korea,,170,50,Busan,9MUSES A,,F,,gyeongree,
81,,Hyemi,Pyo Hyemi,표혜미,혜미,1991-04-03,9Muses,South Korea,,171,46,Gwangju,9MUSES A,,F,,pyopyohyemi,
82,,Minha,Park Minha,박민하,민하,1991-06-27,,South Korea,,172,47,Seoul,,9Muses,F,,blossomh_,
83,,Sojin,Jo Sojin,조소진,소진,1991-10-11,9Muses,South Korea,,170,47,Gwangju,9MUSES A,,F,,josojin_1011,
84,,Keumjo,Lee Keumjo,이금조,금조,1992-12-17,9Muses,South Korea,,167,48,Daegu,9MUSES A,,F,,keumjo_1217,
85,Profile,Sowon,Kim Sojung,김소정,소원,1995-12-07,Gfriend,South Korea,,172,0,Seoul,,,F,,,
86,Profile,Yerin,Jung Yerin,정예린,예린,1996-08-19,Gfriend,South Korea,,167,0,Incheon,,,F,,,
87,Profile,Eunha,Jung Eunbi,정은비,은하,1997-05-30,VIVIZ,South Korea,,163,0,Seoul,,Gfriend,F,,,
88,Profile,Yuju,Choi Yuna,최유나,유주,1997-10-04,Gfriend,South Korea,,169,0,Goyang,,,F,,,
89,Profile,SinB,Hwang Eunbi,황은비,신비,1998-06-03,VIVIZ,South Korea,,165,0,Cheongju,,Gfriend,F,,,
90,Profile,Umji,Kim Yewon,김예원,엄지,1998-08-19,VIVIZ,South Korea,,163,0,Incheon,,Gfriend,F,,,
91,,Victoria,Song Qian,송치엔,빅토리아,1987-02-02,f(x),China,,168,45,Qingdao,,,F,,victoria02_02,
92,,Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,1992-09-18,f(x),USA,Taiwan,167,0,Los Angeles,,,F,,ajol_llama,
93,,Luna,Park Sunyoung,박선영,루나,1993-08-12,f(x),South Korea,,162,0,Seoul,,,F,,hermosavidaluna,
94,,Krystal,Krystal Jung,크리스탈 정,크리스탈,1994-10-24,f(x),South Korea,,165,0,San Francisco,,,F,,vousmevoyez,
95,Profile,Irene,Bae Juhyun,배주현,아이린,1991-03-29,Red Velvet,South Korea,,161,0,Daegu,Red Velvet - IRENE SEULGI,,F,,,
96,Profile,Seulgi,Kang Seulgi,강슬기,슬기,1994-02-10,Red Velvet,South Korea,,162,0,Seoul,Red Velvet - IRENE SEULGI,,F,,,
97,Profile,Wendy,Son Seunghwan,손승완,웬디,1994-02-21,Red Velvet,South Korea,,160,0,Seoul,,,F,,,
98,Profile,Joy,Park Sooyoung,박수영,조이,1996-09-03,Red Velvet,South Korea,,163,0,Jeju,,,F,,,
99,Profile,Yeri,Kim Yerim,김예림,예리,1999-03-05,Red Velvet,South Korea,,158,0,Seoul,,,F,,,
100,,BoA,Kwon Boa,권보아,보아,1986-11-05,,South Korea,,0,0,Guri,,,F,,boakwon,
101,,Ailee,Lee Yejin,이예진,에일리,1989-05-30,,South Korea,USA,165,0,Denver,,,F,,aileeonline,
102,,G.NA,Gina Jane Choi,최지나,지나,1987-09-13,,Canada,South Korea,167,0,Edmonton,,,F,,missginachoi87,
103,,Taeha,Yoo Taeha,유태하,태하,1995-10-05,,South Korea,,162,0,,,Berry Good,F,,,
104,,Seoyul,Seo Yuri,서유리,서율,1997-11-26,Berry Good,South Korea,,163,0,,,,F,,,
105,,Daye,Kim Hyunjung,김현정,다예,1998-02-25,Berry Good,South Korea,,167,0,,,,F,,,
106,,Sehyung,Kang Sehyung,강세형,세형,1998-12-13,Berry Good,South Korea,,169,0,,,,F,,,
107,,Gowoon,Moon Joojeong,문유정,고운,1998-12-18,Berry Good,South Korea,,167,0,,,,F,,,
108,,Hyangsuk,Lee Hyangsuk,이향숙,향숙,1991-04-24,2EYES,South Korea,,165,0,Seoul,,,F,,baby_sook,
109,,Daeun,Jung Daeun,정다은,정다은,1994-06-03,2EYES,South Korea,,161,0,Bucheon,,,F,,da.ni_jung,
110,,Dasom,Lee Dasom,이다솜,다솜,1993-11-13,2EYES,South Korea,,164,0,Cheongju,,,F,,,
111,,Hyerin,Kim Hyerin,김혜린,혜린,1993-06-13,2EYES,South Korea,,170,0,Seoul,,,F,,hyelyn0723,
112,,IU,Lee Jieun,이지은,아이유,1993-05-16,,South Korea,,162,0,Seoul,,,F,,dlwlrma,
113,,Jei,Kim Jinhee,김진희,재이,1989-09-05,Fiestar,South Korea,,162,0,Bucheon,,,F,,kimjeii,
114,,Cao Lu,Cao Lu,차오루,차오루,1987-08-30,Fiestar,China,,166,0,Zhangjiajie,,,F,,better_me_lulu,
115,,Linzy,Im Minji,임민지,린지,1989-10-22,Fiestar,South Korea,,168,0,Incheon,,,F,,linzy_minji,
116,,Hyemi,Kim Hyemi,김혜미,혜미,1990-08-10,Fiestar,South Korea,,161,0,Seoul,,,F,,hyemi_haaaaam,
117,,Yezi,Lee Yeji,이예지,예지,1994-08-26,Fiestar,South Korea,,161,0,Gangneung,,,F,,-,fiestar__yezi
118,Profile,Hana,Shin Bora,신보라,하나,1993-04-30,Gugudan,South Korea,,0,0,,,,F,,,
119,Profile,Mimi,Jung Mimi,정미미,미미,1993-01-01,Gugudan,South Korea,,163,0,,,,F,,,
120,Profile,Haebin,Han Haebin,한해빈,해빈,1995-08-16,Gugudan,South Korea,,0,0,,,,F,,,
121,Profile,Nayoung,Kim Nayoung,김나영,나영,1995-11-23,Gugudan,South Korea,,169,50,,,,F,,,
122,Profile,Sejeong,Kim Sejeong,김세정,세정,1996-08-28,Gugudan,South Korea,,164,48,,,I.O.I,F,,,
123,Profile,Sally,Liu Xiening,류셰닝,샐리,1996-10-23,Gugudan,China,,0,0,Guangdong,,,F,,,
124,Profile,Soyee,Jang Sojin,장소진,소이,1996-11-21,Gugudan,South Korea,,0,0,,,,F,,,
125,Profile,Mina,Kang Mina,강미나,미나,1999-12-04,Gugudan,South Korea,,162,48,Icheon,Gugudan Oguogu,I.O.I,F,,,
126,Profile,Hyeyeon,Cho Hyeyeon,조혜연,혜연,2000-08-05,,South Korea,,0,0,,Gugudan Oguogu,Gugudan,F,,,
127,Profile,Hyojung,Choi Hyojung,최효정,효정,1994-07-28,Oh My Girl,South Korea,,160,46,Yangyang,,,F,,,
128,Profile,JinE,Shin Hyejin,신혜진,진이,1995-01-22,,South Korea,,160,48,Pohang,,Oh My Girl,F,,,
129,Profile,Mimi,Kim Mihyun,김미현,미미,1995-05-01,Oh My Girl,South Korea,,163,50,Jeju,,,F,,,
130,Profile,Yooa,Yoo Siah,유시아,유아,1995-09-17,Oh My Girl,South Korea,,160,50,Seoul,,,F,,,
131,Profile,Seunghee,Hyun Seunghee,현승희,승희,1996-01-25,Oh My Girl,South Korea,,160,48,Chuncheon,,,F,,,
132,Profile,Jiho,Kim Jiho,김지호,지호,1997-04-04,Oh My Girl,South Korea,,165,49,Okcheon,,,F,,,
133,Profile,Binnie,Bae Yubin,배유빈,비니,1997-09-09,Oh My Girl,South Korea,,161,49,Chuncheon,,,F,,,
134,Profile,Arin,Choi Yewon,최예원,아린,1999-06-18,Oh My Girl,South Korea,,163,47,Busan,,,F,,,
135,Profile,Babysoul,Lee Soojung,이수정,베이비소울,1992-07-06,Lovelyz,South Korea,,158,41,Gwangju,,,F,Leader,,
136,Profile,Jiae,Yoo Jiae,유지애,지애,1993-05-21,Lovelyz,South Korea,,163,43,Seoul,,,F,,,
137,Profile,Jisoo,Seo Jisoo,서지수,지수,1994-02-11,Lovelyz,South Korea,,165,46,Incheon,,,F,,,
138,Profile,Mijoo,Lee Mijoo,이미주,미주,1994-09-23,Lovelyz,South Korea,,167,47,Okcheon,,,F,,,
139,Profile,Kei,Kim Jiyeon,김지연,케이,1995-03-20,Lovelyz,South Korea,,162,47,Incheon,,,F,,,
140,Profile,JIN,Park Myungeun,박명은,진,1996-06-12,Lovelyz,South Korea,,165,47,Busan,,,F,,,
141,Profile,Sujeong,Ryu Sujeong,류수정,수정,1997-11-19,Lovelyz,South Korea,,168,48,Daejeon,,,F,,,
142,Profile,Yein,Jeong Yein,정예인,예인,1998-06-04,Lovelyz,South Korea,,166,0,Incheon,,,F,,,
143,Profile,Yujeong,Kim Yujeong,김유정,유정,1992-02-14,,South Korea,,161,42,Seoul,,LABOUM,F,Leader,,
144,Profile,Soyeon,Jung Soyeon,정소연,소연,1994-05-04,LABOUM,South Korea,,161,44,Gwangju,,,F,Main Vocalist,,
145,Profile,ZN,Bae Jinye,배진예,지엔,1994-06-09,LABOUM,South Korea,,169,48,Bucheon,UNI.T,,F,Main Dancer,,
146,Profile,Haein,Yeom Haein,염해인,해인,1995-05-19,LABOUM,South Korea,,162,45,Ojeonggu,,,F,Lead Dancer,,
147,Profile,Solbin,Ahn Solbin,안솔빈,솔빈,1997-08-19,LABOUM,South Korea,,169,52,Ojeonggu,,,F,Visual,,
148,Profile,Yulhee,Kim Yulhee,김율희,율희,1997-11-27,,South Korea,,166,52,Bucheon,,LABOUM,F,Main Rapper,,
149,Profile,Boram,Jeon Boram,전보람,보람,1986-03-22,,South Korea,,155,45,Seoul,,T-ara,F,,bo_ram_0322,
150,Profile,Qri,Lee Jihyun,이지현,큐리,1986-12-12,T-ara,South Korea,,162,44,Goyang,,,F,,qtfreet,
151,Profile,Soyeon,Park Soyeon,박소연,소연,1987-10-05,,South Korea,,163,46,Andong,,T-ara,F,,melodysoyani,
152,Profile,Eunjung,Ham Eunjung,함은정,은정,1988-12-12,T-ara,South Korea,,167,47,Seoul,,,F,,sweetgirl_eunjung,
153,Profile,Hyomin,Park Sunyoung,박선영,효민,1989-05-30,T-ara,South Korea,,167,43,Busan,,,F,,hyominnn,
154,Profile,Jiyeon,Park Jiyeon,박지연,지연,1993-06-07,T-ara,South Korea,,167,45,Seoul,,,F,,jiyeon2__,
155,Profile,Solar,Kim Yongsun,김용선,솔라,1991-02-21,Mamamoo,South Korea,,163,43,Seoul,,,F,Leader,,
156,,Moonbyul,Moon Byulyi,문별이,문별,1992-12-22,Mamamoo,South Korea,,165,45,Bucheon,,,F,Main Rapper,,
157,,Wheein,Jung Wheein,정휘인,휘인,1995-04-17,Mamamoo,South Korea,,162,43,Jeonju,,,F,Lead Vocalist,,
158,,Hwasa,Ahn Hyejin,안혜진,화사,1995-07-23,Mamamoo,South Korea,,162,44,Jeonju,,,F,Lead Vocalist,,
159,Profile,Yeoeun,Jung Jieun,정지은,여은,1990-01-25,MELODYDAY,South Korea,,169,0,,,,F,Leader,yeosilver,
160,Profile,Yein,Ahn Yein,안예인,예인,1995-05-04,MELODYDAY,South Korea,,168,0,,,,F,Lead Vocalist,yen_thankful954,
161,Profile,Chahee,Park Sooyoung,박수영,차희,1996-03-24,MELODYDAY,South Korea,,167,0,,,,F,Sub Vocalist,hichaheebye,
162,Profile,Yoomin,Na Yoomin,나유민,유민,1993-08-29,MELODYDAY,South Korea,,165,0,,,,F,Main Rapper,im.umin,
163,Profile,Elkie,Chong Ting Yan,쫑딩얀,엘키,1998-11-02,,Hong Kong,,163,45,Hong Kong,,CLC,F,,,
164,Profile,Eunbin,Kwon Eunbin,권은빈,은빈,2000-01-06,CLC,South Korea,,167,48,Seoul,,,F,,,
165,Profile,Jisoo,Kim Jisoo,김지수,지수,1995-01-03,BLACKPINK,South Korea,,162,45,Seoul,,,F,,,
166,Profile,Jennie,Kim Jennie,김제니,제니,1996-01-16,BLACKPINK,South Korea,,163,50,Anyang,,,F,,,
167,Profile,Rosé,Roseanne Park,로잔느 박,로제,1997-02-11,BLACKPINK,South Korea,,167,0,Auckland,,,F,,,
168,Profile,Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,1997-03-27,BLACKPINK,Thailand,,170,46,Bangkok,,,F,,,
169,,Hyeji,Jeong Hyeji,정혜지,혜지,1992-04-02,4TEN,South Korea,,0,0,Seoul,,,F,,,
170,,Heeo,Gwak Heeoh,곽히오,히오,1994-05-02,4TEN,South Korea,,0,0,,,,F,,,
171,,Yoon,Heo Yoon,허윤,윤,1994-09-23,4TEN,South Korea,,0,0,,,,F,,,
172,,Hyejin,Baek Hyejin,백혜진,혜진,1996-11-21,4TEN,South Korea,,0,0,Sacheon,,,F,,,
173,,Uee,Kim Yujin,김유진,유이,1988-04-09,,South Korea,,0,0,Daegu,,After School,F,,,
174,,Raina,Oh Hyerin,오혜린,레이나,1989-05-07,After School,South Korea,,0,0,Ulsan,Orange Caramel,,F,,raina_57,
175,,Nana,Im Jinah,임진아,나나,1991-09-14,After School,South Korea,,0,0,Cheongju,Orange Caramel,,F,,jin_a_nana,
176,,Lizzy,Park Sooyoung,박수영,리지,1992-07-31,After School,South Korea,,0,0,Busan,Orange Caramel,,F,,luvlyzzy,
177,,E-Young,Noh Yiyoung,노이영,이영,1992-08-16,After School,South Korea,,0,0,Chuncheon,,,F,,e_young0816,
178,,Kaeun,Lee Kaeun,이가은,가은,1994-08-20,After School,South Korea,,0,0,Seoul,,,F,,realkkaaanngg,
179,,Kahi,Park Jiyoung,박지영,가희,1980-12-25,,South Korea,,0,0,Daegu,,After School,F,,imisskahi,
180,,Jooyeon,Lee Jooyeon,이주연,주연,1987-03-19,,South Korea,,0,0,Seoul,,After School,F,,jupppal,
181,,Jungah,Kim Jungah,김정아,정아,1983-08-02,,South Korea,,0,0,Incheon,,After School,F,,i_am_jjunga,
182,,Soyoung,Yoo Soyoung,유소영,소영,1996-03-29,,South Korea,,0,0,Seoul,,After School,F,,ssossolovely,
183,,Bekah,Rebecca Kim,김레베카,베카,1989-08-11,,South Korea,USA,0,0,Honolulu,,After School,F,,,
184,Profile,Chaewon,Kim Chaewon,김채원,채원,1997-11-08,APRIL,South Korea,,0,0,Gongju,,,F,,,
185,Profile,Naeun,Lee Naeun,이나은,나은,1999-05-05,APRIL,South Korea,,0,0,Daejeon,,,F,,,
186,Profile,Yena,Yang Yena,양예나,예나,2000-05-22,APRIL,South Korea,,0,0,Daegu,,,F,,,
187,Profile,Jinsol,Lee Jinsol,이진솔,진솔,2001-12-04,APRIL,South Korea,,0,0,Andong,,,F,,,
188,,Hyunjoo,Lee Hyunjoo,이현주,현주,1998-02-05,UNI.T,South Korea,,0,0,Seoul,,APRIL,F,,,
189,,Monika,Kang Yeh,강예,모니카,1991-05-21,BADKIZ,South Korea,,0,0,Seoul,,,F,,maygirl_nika,
190,,LuA,Jo Hankyeung,조한경,루아,1991-09-14,BADKIZ,South Korea,,0,0,Busan,,,F,,,
191,,K.Me,Na Miri,나미리,케이미,1992-04-10,BADKIZ,South Korea,,0,0,Yeosu,,,F,,k.me93,
192,,Somin,Jang Somin,장소민,소민,1993-11-10,BADKIZ,South Korea,,0,0,Gwangmyeon,,,F,,somin.92,
193,,U-Si,Yoo Jiyeon,윤지연,유시,1997-11-13,BADKIZ,South Korea,,0,0,Iksan,,,F,,_u_si,
194,,Gabin,Kim Gabin,김가빈,가빈,1989-09-18,Blady,South Korea,,0,0,Busan,,,F,,_kimgabin,
195,,Dayoung,Kim Dayoung,김다영,다영,1991-02-02,Blady,South Korea,,0,0,Jeonju,,,F,,loloola22_,
196,,Giru,Park Giru,박기루,기루,1991-08-14,Blady,South Korea,,0,0,Incheon,,,F,,giru_p,
197,,Tina,Christine Joy Park,크리스틴 조이 박,티나,1994-09-01,Blady,USA,South Korea,0,0,Los Angeles,,,F,,nuhmootina,
198,,Yeeun,Hwang Yeeun,황예은,예은,1997-01-12,Blady,South Korea,,0,0,Gimhae,,,F,,yeeuneeeee_,
199,Profile,Minyoung,Kim Minyeong,김민영,민영,1990-09-12,Brave Girls,South Korea,,0,0,Seongnam,,,F,,,
200,Profile,Yujeong,Nam Yujeong,남유정,유정,1991-05-02,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
201,Profile,Eunji,Hong Eunji,홍은지,은지,1992-07-19,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
202,,Yoojin,Jang Yoojin,정유진,유진,1992-09-14,,South Korea,,0,0,,,Brave Girls,F,,yoojinbabe,
203,Profile,Yuna,Lee Yuna,이유나,유나,1993-04-06,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
204,,Hyeran,Noh Hyeran,노혜란,혜란,1993-04-09,,South Korea,,0,0,,,Brave Girls,F,,hrannnoh,
205,Profile,Hayun,Lee Hayun,이하윤,하윤,1994-08-29,,South Korea,,0,0,Changwon,,Brave Girls,F,,hayoon.y,
206,Profile,Bona,Kim Jiyeon,김지연,보나,1995-08-19,Cosmic Girls,South Korea,,163,0,Daegu,WJSN The Black,,F,,,
207,Profile,Cheng Xiao,Cheng Xiao,청샤오,성소,1998-07-15,Cosmic Girls,China,,167,0,Shenzhen,,,F,,chengxiao_0715,
208,Profile,Dayoung,Im Dayoung,임다영,다영,1999-05-14,Cosmic Girls,South Korea,,161,0,Jeju,WJSN Chocome,,F,,,
209,Profile,Xuanyi,Wu Xuanyi,우쉬안이,선의,1995-01-26,Cosmic Girls,China,,166,0,Hainan,,,F,,,
